	name	Longitude	Latitude	address1	city	zip_code	state	display_address	price	rating	review_count
164	Ikinari Steak East Village	-73.98968	40.73088	90 E 10th St	New York	10003	NY	['90 E 10th St', 'New York, NY 10003']	$$	4.0	760
165	Shinagawa	-73.97935	40.74549	157 E 33rd St	New York	10016	NY	['157 E 33rd St', 'New York, NY 10016']	$$	4.5	99
166	Dock Asian Eatery	-73.92274	40.70628	22 Wyckoff Ave	Brooklyn	11237	NY	['22 Wyckoff Ave', 'Brooklyn, NY 11237']	$$	4.5	106
167	Sun-Chan Japanese Restaurant	-73.9686399	40.7995	2707 Broadway	New York	10025	NY	['2707 Broadway', 'New York, NY 10025']	$$	3.5	211
168	JeJu Noodle Bar	-74.00734	40.73304	679 Greenwich St	New York	10014	NY	['679 Greenwich St', 'New York, NY 10014']	$$	4.5	491
169	MOMO CURRY	-74.0047136	40.7408261	353 W 14th St	New York	10014	NY	['353 W 14th St', 'New York, NY 10014']		4.5	11
170	Sushi Noz	-73.95813	40.77385	181 E 78th St	New York	10075	NY	['181 E 78th St', 'New York, NY 10075']		4.5	86
171	Norikoh	-73.98153	40.75116	10 E 39th St	New York	10016	NY	['10 E 39th St', 'New York, NY 10016']	$$	4.0	533
172	Sushi by Bou Flatiron	-73.9937	40.74094	49 W 20th St	New York	10011	NY	['49 W 20th St', 'New York, NY 10011']	$$$	4.5	195
173	Samurai Papa	-73.943588398397	40.702892072912	32 Varet St	Brooklyn	11206	NY	['32 Varet St', 'Brooklyn, NY 11206']	$$	4.5	260
174	Būmu	-73.99907	40.7335	61 W 8th St	New York	10011	NY	['61 W 8th St', 'New York, NY 10011']		3.5	15
175	Gyu-Kaku Japanese BBQ	-73.98989	40.75908	321 W 44th St	New York	10036	NY	['321 W 44th St', 'Unit 103', 'New York, NY 10036']	$$	4.0	1191
176	Amami Bar and Restaurant	-73.952194	40.723548	57 Nassau Ave	Brooklyn	11222	NY	['57 Nassau Ave', 'Brooklyn, NY 11222']	$$	4.0	136
177	Sushi Katsuei	-73.9785903	40.6707147	210 7th Ave	Brooklyn	11215	NY	['210 7th Ave', 'Brooklyn, NY 11215']	$$$	4.0	416
178	Blue Ribbon Sushi	-74.0025299	40.72612	119 Sullivan St	New York	10012	NY	['119 Sullivan St', 'New York, NY 10012']	$$$	4.0	1085
179	Inakaya	-73.989599	40.755553	231 W 40th St	New York	10018	NY	['231 W 40th St', 'New York Times Bldg', 'New York, NY 10018']	$$$	3.5	538
180	Bar Moga	-74.00107	40.72787	128 W Houston St	New York	10012	NY	['128 W Houston St', 'New York, NY 10012']	$$	4.0	161
181	Village Yokocho	-73.9891899	40.7298	8 Stuyvesant St	New York	10003	NY	['8 Stuyvesant St', 'New York, NY 10003']	$$	3.5	753
182	Nobu Fifty Seven	-73.9765048613641	40.7636210840864	40 W 57th St	New York	10019	NY	['40 W 57th St', 'New York, NY 10019']	$$$$	4.0	1163
183	Jukai	-73.9678837692742	40.7572093705873	237 E 53rd St	New York	10022	NY	['237 E 53rd St', 'New York, NY 10022']	$$$	4.0	157
184	Yoi Sushi Japanese	-73.83364	40.75899	133-22 39th Ave	Flushing	11354	NY	['133-22 39th Ave', 'Flushing, NY 11354']	$$	4.5	183
185	Udon West Midtown	-73.9735724478504	40.7535446865563	150 E 46th St	New York	10017	NY	['150 E 46th St', 'New York, NY 10017']	$$	4.0	1007
186	Curry-Ya	-73.98604	40.72922	214 E 10th St	New York	10003	NY	['214 E 10th St', 'New York, NY 10003']	$$	4.0	709
187	Sunrise Mart	-74.0025149	40.7232311	494 Broome St	New York	10012	NY	['494 Broome St', 'New York, NY 10012']	$$	4.0	269
