	name	Longitude	Latitude	address1	city	zip_code	state	display_address	price	rating	review_count
629	New Lin Wang Restaurant	-73.897255	40.63772	9417 Ave L	Brooklyn	11236	NY	['9417 Ave L', 'Brooklyn, NY 11236']	$	3.0	8
630	Pu Gui Ren	-74.00456	40.64086	773 51st St	Brooklyn	11220	NY	['773 51st St', 'Fl 1', 'Brooklyn, NY 11220']		5.0	1
631	Kung Fu Little Steamed Buns Ramen	-73.9694294705987	40.7592514705491	146 E 55th St	New York	10022	NY	['146 E 55th St', 'New York, NY 10022']	$$	3.5	300
632	Far East	-73.986855	40.668091	471 A 5th Ave	Brooklyn	11215	NY	['471 A 5th Ave', 'Brooklyn, NY 11215']	$	3.0	24
633	Yang Kee 1 Chinese	-73.862278	40.679894	7501 101st Ave	Ozone Park	11416	NY	['7501 101st Ave', 'Ozone Park, NY 11416']	$	3.5	10
634	2 In 1 Restaurant	-73.93255	40.61844	2108 Flatbush Ave	Brooklyn	11234	NY	['2108 Flatbush Ave', 'Brooklyn, NY 11234']		4.5	7
635	China Gourmet	-73.98524	40.76381	877 8th Ave	New York	10019	NY	['877 8th Ave', 'New York, NY 10019']	$	2.5	216
636	Xin Lin Chinese Restaurant	-74.0187399	40.77735	4507 Park Ave	Union City	07087	NJ	['4507 Park Ave', 'Ste A', 'Union City, NJ 07087']	$	4.0	16
637	Xiang Xiang Noodle	-73.98587	40.73982	110-112 E 23rd St	New York	10010	NY	['110-112 E 23rd St', 'New York, NY 10010']	$$	4.0	90
638	Wonton Noodle Garden	-73.998189	40.7157921	56 Mott St	New York	10013	NY	['56 Mott St', 'New York, NY 10013']	$	3.5	438
639	86 Noodles	-74.02878	40.6226399	8608 4th Ave	Brooklyn	11209	NY	['8608 4th Ave', 'Brooklyn, NY 11209']	$$	3.5	200
640	Panda Chinese Restaurant	-73.7909336577637	40.6737209940604	14611 Rockaway Blvd	Jamaica	11436	NY	['14611 Rockaway Blvd', 'Jamaica, NY 11436']	$$	3.5	29
641	A A Jing	-73.99041	40.762	689 9th Ave	New York	10036	NY	['689 9th Ave', 'New York, NY 10036']	$$	3.5	289
642	Long Won Chinese Food	-73.89333	40.6373	1845 Rockaway Pkwy	Brooklyn	11236	NY	['1845 Rockaway Pkwy', 'Brooklyn, NY 11236']	$	3.0	9
643	Garden Tortilla & Chinese Exp	-74.00568	40.62219	7120 13th Ave	Brooklyn	11228	NY	['7120 13th Ave', 'Brooklyn, NY 11228']	$	3.5	19
644	Wok To Walk	-73.9889749516819	40.7361928480486	42 Union Sq E	New York	10003	NY	['42 Union Sq E', 'New York, NY 10003']	$	4.0	222
645	Rose Flower Restaurant	-73.88383	40.86797	383 Bedford Park Blvd	Bronx	10458	NY	['383 Bedford Park Blvd', 'Bronx, NY 10458']	$	4.0	12
646	New Star	-73.947705	40.592772	2212 Ave X	Brooklyn	11235	NY	['2212 Ave X', 'Brooklyn, NY 11235']	$	3.5	39
647	ChopStix Sheepshead Bay	-73.9403	40.59116	3790 Nostrand Ave	Brooklyn	11235	NY	['3790 Nostrand Ave', 'Brooklyn, NY 11235']	$$	3.5	274
648	Grill On Lee	-73.9587070047855	40.7044641162683	108 Lee Ave	New York	11211	NY	['108 Lee Ave', 'New York, NY 11211']	$$	4.0	13
649	Mao’s Bao	-74.004706248683	40.7480714928872	4059 High Line	New York	10011	NY	['4059 High Line', 'New York, NY 10011']		3.5	9
650	Taiwan Pork Chop House	-73.99799	40.71424	3 Doyers St	New York	10013	NY	['3 Doyers St', 'New York, NY 10013']	$	4.0	436
651	Wing Hua	-73.999031	40.676475	508 Court St	Brooklyn	11231	NY	['508 Court St', 'Brooklyn, NY 11231']	$	3.5	37
652	Profit Chinese Restaurant II	-73.9755799	40.74565	643 2nd Ave	New York	10016	NY	['643 2nd Ave', 'New York, NY 10016']	$	3.0	35
653	Chinacity Restaurant	-73.93626	40.6974	914 Broadway	Brooklyn	11206	NY	['914 Broadway', 'Brooklyn, NY 11206']		3.5	6
654	Bite Of Hong Kong	-73.99437	40.7174007	81 Chrystie St	New York	10002	NY	['81 Chrystie St', 'New York, NY 10002']	$$	3.5	95
655	Guan Fu Sichuan	-73.832271	40.759112	39-16 Prince St	Flushing	11354	NY	['39-16 Prince St', 'G01', 'Flushing, NY 11354']	$$$	4.0	196
656	RedFarm	-74.00652	40.7342	529 Hudson St	New York	10014	NY	['529 Hudson St', 'New York, NY 10014']	$$$	3.5	654
657	China One	-73.992790222168	40.6616096496582	677 5th Ave	Brooklyn	11215	NY	['677 5th Ave', 'Brooklyn, NY 11215']	$	3.0	16
658	Peking Duck House	-73.99871	40.71461	28 Mott St	New York	10013	NY	['28 Mott St', 'Ste A', 'New York, NY 10013']	$$$	3.5	819
659	No 1 Chinese Restaurant	-73.9394706	40.8513816	825 W 181st St	New York	10033	NY	['825 W 181st St', 'New York, NY 10033']	$	3.5	114
660	Grand Sichuan	-74.04252	40.72047	342 Grove St	Jersey City	07302	NJ	['342 Grove St', 'Jersey City, NJ 07302']	$$	3.0	451
661	Feng Shun Chang Kitchen	-73.9492035	40.7974815	2 W 111th St	New York	10026	NY	['2 W 111th St', 'New York, NY 10026']		4.0	2
662	Wing Hua 2	-73.97763	40.6438	223 Church Ave	Brooklyn	11218	NY	['223 Church Ave', 'Brooklyn, NY 11218']	$	3.0	37
663	New Fun Sing	-73.94349	40.70191	689 Broadway	Brooklyn	11206	NY	['689 Broadway', 'Brooklyn, NY 11206']	$	3.5	12
664	Lee's Chinese Restaurant	-73.92398	40.67888	1884 Fulton St	Brooklyn	11233	NY	['1884 Fulton St', 'Brooklyn, NY 11233']		3.5	3
665	China Wok	-73.97747	40.72216	63 Ave D	New York	10009	NY	['63 Ave D', 'New York, NY 10009']		2.0	8
666	Prosperity Noodle	-74.0044088	40.6539818	947 4th Ave	Brooklyn	11232	NY	['947 4th Ave', 'Brooklyn, NY 11232']	$	3.5	19
667	Ho Wan Restaurant	-73.83095	40.68508	111-05 Liberty Ave	Richmond Hill	11419	NY	['111-05 Liberty Ave', 'Richmond Hill, NY 11419']	$$	3.5	95
668	Win Hing Chinese Restaurant	-73.88852	40.63395	9718 Seaview Ave	Brooklyn	11236	NY	['9718 Seaview Ave', 'Brooklyn, NY 11236']	$	3.5	9
669	Teng Dragon	-73.9525201544166	40.8188500278556	1516 Amsterdam Ave	New York	10031	NY	['1516 Amsterdam Ave', 'New York, NY 10031']		5.0	1
670	Fu Zhou Wei Zhong Wei Jia Xiang Feng Wei	-73.99414	40.713837	88 E Broadway	New York	10002	NY	['88 E Broadway', 'Stall B45', 'New York, NY 10002']	$	4.0	24
